Code INSEE,Code Postal,Commune,Département,Région,Statut,Altitude Moyenne,Superficie,Population,ID Geofla,Code Commune,Code Canton,Code Arrondissement,Code Département,Code Région
63402,63550,SAINT-VICTOR-MONTVIANEIX,['PUY-DE-DOME'],['AUVERGNE'],['Commune simple'],750,4508,0.30000000000000004,2003,402,43,5,63,83
64012,64130,AINHARP,['PYRENEES-ATLANTIQUES'],['AQUITAINE'],['Commune simple'],232,1431,0.1,3178,012,20,2,64,72
26027,26150,BARSAC,['DROME'],['RHONE-ALPES'],['Commune simple'],606,1582,0.2,8215,027,09,1,26,82
2A108,20126,EVISA,['CORSE-DU-SUD'],['CORSE'],['Commune simple'],1160,6720,0.2,1332,108,35,1,2A,94
42205,42940,SAINT-BONNET-LE-COURREAU,['LOIRE'],['RHONE-ALPES'],['Commune simple'],992,5036,0.7000000000000001,7682,205,25,1,42,82
28232,28240,MANOU,['EURE-ET-LOIR'],['CENTRE'],['Commune simple'],237,1361,0.6000000000000001,4524,232,17,4,28,24
69063,69660,COLLONGES-AU-MONT-D'OR,['RHONE'],['RHONE-ALPES'],['Commune simple'],208,381,3.8,18671,063,10,1,69,82
62761,62128,SAINT-MARTIN-SUR-COJEUL,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],86,343,0.2,18319,761,20,1,62,31
61502,61360,VIDAI,['ORNE'],['BASSE-NORMANDIE'],['Commune simple'],151,158,0.1,29167,502,28,3,61,25
56219,56460,SAINT-GUYOMARD,['MORBIHAN'],['BRETAGNE'],['Commune simple'],79,1979,1,4824,219,19,3,56,53
68308,68290,SICKERT,['HAUT-RHIN'],['ALSACE'],['Commune simple'],562,512,0.30000000000000004,33201,308,15,6,68,42
58034,58120,BLISMES,['NIEVRE'],['BOURGOGNE'],['Commune simple'],353,2686,0.2,34429,034,03,1,58,26
27396,27850,MENESQUEVILLE,['EURE'],['HAUTE-NORMANDIE'],['Commune simple'],85,413,0.4,31437,396,18,1,27,23
37115,37160,DESCARTES,['INDRE-ET-LOIRE'],['CENTRE'],['Chef-lieu canton'],84,3809,3.8,12032,115,09,3,37,24
54013,54450,AMENONCOURT,['MEURTHE-ET-MOSELLE'],['LORRAINE'],['Commune simple'],291,727,0.1,3056,013,06,2,54,41
14407,14920,MATHIEU,['CALVADOS'],['BASSE-NORMANDIE'],['Commune simple'],48,939,1.9,31039,407,14,2,14,25
41192,41800,LES ROCHES-L'EVEQUE,['LOIR-ET-CHER'],['CENTRE'],['Commune simple'],113,243,0.30000000000000004,21131,192,12,2,41,24
11175,11400,ISSEL,['AUDE'],['LANGUEDOC-ROUSSILLON'],['Commune simple'],228,1822,0.5,12504,175,09,1,11,91
58187,58440,MYENNES,['NIEVRE'],['BOURGOGNE'],['Commune simple'],175,714,0.6000000000000001,17343,187,31,4,58,26
62084,62810,BARLY,['PAS-DE-CALAIS'],['NORD-PAS-DE-CALAIS'],['Commune simple'],139,612,0.2,28927,084,08,1,62,31
28052,28130,BOUGLAINVAL,['EURE-ET-LOIR'],['CENTRE'],['Commune simple'],151,1447,0.7000000000000001,17885,052,18,1,28,24
45234,45000/45100,ORLEANS,['LOIRET'],['CENTRE'],['Préfecture de région'],106,2757,113.2,23359,234,99,2,45,24
51558,51130,SOULIERES,['MARNE'],['CHAMPAGNE-ARDENNE'],['Commune simple'],210,605,0.1,19932,558,29,1,51,21
65214,65230,HACHAN,['HAUTES-PYRENEES'],['MIDI-PYRENEES'],['Commune simple'],287,187,0,30012,214,08,3,65,73
65131,65350,CASTELVIEILH,['HAUTES-PYRENEES'],['MIDI-PYRENEES'],['Commune simple'],290,532,0.2,22357,131,17,3,65,73
84067,84870,LORIOL-DU-COMTAT,['VAUCLUSE'],"[""PROVENCE-ALPES-COTE D'AZUR""]",['Commune simple'],53,1120,2.3,31446,067,09,3,84,93
72062,72400,LA CHAPELLE-DU-BOIS,['SARTHE'],['PAYS DE LA LOIRE'],['Commune simple'],157,1651,0.9,25972,062,10,2,72,52
64446,64350,PEYRELONGUE-ABOS,['PYRENEES-ATLANTIQUES'],['AQUITAINE'],['Commune simple'],268,868,0.1,24474,446,18,3,64,72
17109,17220,CLAVETTE,['CHARENTE-MARITIME'],['POITOU-CHARENTES'],['Commune simple'],25,630,1.1,13818,109,10,3,17,54
52170,52190,DOMMARIEN,['HAUTE-MARNE'],['CHAMPAGNE-ARDENNE'],['Commune simple'],302,1791,0.2,12030,170,23,2,52,21
79356,79150,VOULTEGON,['DEUX-SEVRES'],['POITOU-CHARENTES'],['Commune simple'],136,1760,0.6000000000000001,10505,356,02,1,79,54
59209,59127,ESNES,['NORD'],['NORD-PAS-DE-CALAIS'],['Commune simple'],109,1459,0.7000000000000001,30711,209,18,2,59,31
28286,28120,OLLE,['EURE-ET-LOIR'],['CENTRE'],['Commune simple'],174,1310,0.6000000000000001,6672,286,15,1,28,24
80798,80260,VILLERS-BOCAGE,['SOMME'],['PICARDIE'],['Chef-lieu canton'],123,1420,1.4,26505,798,41,2,80,22
